Line,Anio,Week,Quantity
Frío,2016,W22,2158
Frío,2016,W23,5099
Frío,2016,W24,1616
Frío,2016,W25,2627
Frío,2016,W26,1592
Frío,2016,W27,3201
Frío,2016,W28,2942
Frío,2016,W29,2979
Frío,2016,W30,2100
Frío,2016,W31,183
Frío,2016,W32,3571
Frío,2016,W33,3675
Frío,2016,W34,5656
Frío,2016,W35,1872
Frío,2016,W36,1835
Frío,2016,W37,4168
Frío,2016,W38,3684
Frío,2016,W39,2684
Frío,2016,W40,2005
Frío,2016,W41,2508
Frío,2016,W42,3975
Frío,2016,W43,4387
Frío,2016,W44,315
Frío,2016,W45,5031
Frío,2016,W46,3629
Frío,2016,W47,4651
Frío,2016,W48,6648
Frío,2016,W49,4710
Frío,2016,W50,4024
Frío,2016,W51,7324
Frío,2016,W52,3798
Frío,2016,W53,0
Frío,2017,W01,80
Frío,2017,W02,5078
Frío,2017,W03,2542
Frío,2017,W04,2066
Frío,2017,W05,1350
Frío,2017,W06,3458
Frío,2017,W07,1737
Frío,2017,W08,3849
Frío,2017,W09,20
Frío,2017,W10,3521
Frío,2017,W11,2754
Frío,2017,W12,4794
Frío,2017,W13,950
Frío,2017,W14,4704
Frío,2017,W15,3520
Frío,2017,W16,2970
Frío,2017,W17,5486
Frío,2017,W18,2080
Frío,2017,W19,7689
Frío,2017,W20,5452
Frío,2017,W21,4596
Frío,2017,W22,374
Frío,2017,W23,3924
Frío,2017,W24,2758
Frío,2017,W25,3142
Frío,2017,W26,743
Frío,2017,W27,2703
Frío,2017,W28,2090
Frío,2017,W29,2104
Frío,2017,W30,2593
Frío,2017,W31,63
Frío,2017,W32,3330
Frío,2017,W33,2132
Frío,2017,W34,3179
Frío,2017,W35,1204
Frío,2017,W36,3011
Frío,2017,W37,2273
Frío,2017,W38,2203
Frío,2017,W39,2936
Frío,2017,W40,1025
Frío,2017,W41,5560
Frío,2017,W42,3919
Frío,2017,W43,5060
Frío,2017,W44,175
Frío,2017,W45,3757
Frío,2017,W46,6132
Frío,2017,W47,6869
Frío,2017,W48,1793
Frío,2017,W49,8481
Frío,2017,W50,4038
Frío,2017,W51,5672
Frío,2017,W52,3168
Frío,2018,W01,484
Frío,2018,W02,3960
Frío,2018,W03,2813
Frío,2018,W04,1870
Frío,2018,W05,1685
Frío,2018,W06,2745
Frío,2018,W07,1378
Frío,2018,W08,3858
Frío,2018,W09,3236
Frío,2018,W10,2122
Frío,2018,W11,3267
Frío,2018,W12,3000
Frío,2018,W13,4036
Frío,2018,W14,3965
Frío,2018,W15,4442
Frío,2018,W16,5040
Frío,2018,W17,6225
Frío,2018,W18,1222
Frío,2018,W19,8815
Frío,2018,W20,5432
Frío,2018,W21,4696
Frío,2018,W22,4133
Frío,2018,W23,1914
Frío,2018,W24,2127
Frío,2018,W25,2788
Frío,2018,W26,3371
Frío,2018,W27,1804
Frío,2018,W28,2752
Frío,2018,W29,2361
Frío,2018,W30,3211
Frío,2018,W31,2134
Frío,2018,W32,2739
Frío,2018,W33,3040
Frío,2018,W34,3351
Frío,2018,W35,3315
Frío,2018,W36,958
Frío,2018,W37,3947
Frío,2018,W38,3770
Frío,2018,W39,5294
Frío,2018,W40,2245
Frío,2018,W41,3695
Frío,2018,W42,3420
Frío,2018,W43,5754
Frío,2018,W44,4918
Frío,2018,W45,8069
Frío,2018,W46,5937
Frío,2018,W47,10452
Frío,2018,W48,7859
Frío,2018,W49,3912
Frío,2018,W50,5852
Frío,2018,W51,6102
Frío,2018,W52,8500
Frío,2019,W01,690
Frío,2019,W02,1768
Frío,2019,W03,3971
Frío,2019,W04,2619
Frío,2019,W05,2028
Frío,2019,W06,2671
Frío,2019,W07,3508
Frío,2019,W08,2757
Frío,2019,W09,2908
Frío,2019,W10,981
Frío,2019,W11,3227
Frío,2019,W12,2470
Frío,2019,W13,5468
Frío,2019,W14,4577
Frío,2019,W15,7006
Frío,2019,W16,6366
Frío,2019,W17,7375
Frío,2019,W18,3149
Frío,2019,W19,6960
Frío,2019,W20,6317
Frío,2019,W21,3823
Frío,2019,W22,5930
Frío,2019,W23,2726
Frío,2019,W24,2831
Frío,2019,W25,2650
Frío,2019,W26,3711
Frío,2019,W27,1639
Frío,2019,W28,3559
Frío,2019,W29,2704
Frío,2019,W30,2718
Frío,2019,W31,3021
Frío,2019,W32,3152
Frío,2019,W33,2864
Frío,2019,W34,5818
Frío,2019,W35,4177
Frío,2019,W36,2058
Frío,2019,W37,2581
Frío,2019,W38,4288
Frío,2019,W39,4973
Frío,2019,W40,2149
Frío,2019,W41,1837
Frío,2019,W42,3137
Frío,2019,W43,7533
Frío,2019,W44,8166
Frío,2019,W45,3052
Frío,2019,W46,12648
Frío,2019,W47,7232
Frío,2019,W48,9115
Frío,2019,W49,5628
Frío,2019,W50,4059
Frío,2019,W51,13545
Frío,2019,W52,7557
Frío,2020,W01,40
Frío,2020,W02,1785
Frío,2020,W03,3535
Frío,2020,W04,4110
Frío,2020,W05,3528
Frío,2020,W06,2243
Frío,2020,W07,2816
Frío,2020,W08,2755
Frío,2020,W09,4578
Frío,2020,W10,1965
Frío,2020,W11,3057
Frío,2020,W12,1795
Frío,2020,W13,45
Frío,2020,W14,282
Frío,2020,W15,4
Frío,2020,W16,237
Frío,2020,W17,544
Frío,2020,W18,625
Frío,2020,W19,2669
Frío,2020,W20,3289
Frío,2020,W21,6222
Frío,2020,W22,2541
Frío,2020,W23,1723
Frío,2020,W24,4057
Frío,2020,W25,6349
Frío,2020,W26,0
Frío,2020,W27,0
Frío,2020,W28,106
Frío,2020,W29,1208
Frío,2020,W30,4058
Frío,2020,W31,6229
Frío,2020,W32,531
Frío,2020,W33,2206
Frío,2020,W34,5559
Frío,2020,W35,6614
Frío,2020,W36,2955
Frío,2020,W37,3690
Frío,2020,W38,3521
Frío,2020,W39,3655
Frío,2020,W40,1458
Frío,2020,W41,4313
Frío,2020,W42,4115
Frío,2020,W43,5433
Frío,2020,W44,6190
Frío,2020,W45,2109
Frío,2020,W46,9789
Frío,2020,W47,7929
Frío,2020,W48,8644
Frío,2020,W49,1857
Frío,2020,W50,5727
Frío,2020,W51,7447
Frío,2020,W52,4380
Frío,2020,W53,4006
Frío,2021,W01,1674
Frío,2021,W02,3627
Frío,2021,W03,4243
Frío,2021,W04,6379
Frío,2021,W05,1257
Frío,2021,W06,3000
Frío,2021,W07,1817
Frío,2021,W08,5612
Frío,2021,W09,1476
Frío,2021,W10,3819
Frío,2021,W11,3487
Frío,2021,W12,3478
Frío,2021,W13,4322
Frío,2021,W14,4903
Frío,2021,W15,5057
Frío,2021,W16,6506
Frío,2021,W17,10502
Frío,2021,W18,2854
Frío,2021,W19,5865
Frío,2021,W20,4888
Frío,2021,W21,7459
Frío,2021,W22,4095
Frío,2021,W23,1774
Frío,2021,W24,3301
Frío,2021,W25,3970
Frío,2021,W26,9177
Frío,2021,W27,752
Frío,2021,W28,1423
Frío,2021,W29,2045
Frío,2021,W30,3336
Frío,2021,W31,829
Frío,2021,W32,2268
Frío,2021,W33,2596
Frío,2021,W34,4949
Frío,2021,W35,3908
Frío,2021,W36,2717
